[2022-01-23 00:50:18,946][Log.py 58][INFO]: test
[2022-01-23 00:51:09,129][test_cjw.py 14][INFO]: 这是一个测试
[2022-01-23 00:51:30,148][test_cjw.py 14][INFO]: 这是一个测试
[2022-01-23 00:52:16,408][logger.py 33][INFO]: ---测试开始---
[2022-01-23 00:52:16,408][logger.py 34][DEBUG]: ---测试结束---
[2022-01-23 00:52:41,488][Log.py 58][INFO]: test
[2022-01-23 00:52:47,959][logger.py 33][INFO]: ---测试开始---
[2022-01-23 00:52:47,959][logger.py 34][DEBUG]: ---测试结束---
[2022-01-23 00:53:43,881][logger.py 33][INFO]: ---测试开始---
[2022-01-23 00:53:43,881][logger.py 34][DEBUG]: ---测试结束---
[2022-01-23 00:53:50,289][logger.py 33][INFO]: ---测试开始---
[2022-01-23 00:53:50,289][logger.py 34][DEBUG]: ---测试结束---
[2022-01-23 00:56:31,880][Log.py 58][INFO]: test
[2022-01-23 00:57:07,830] -->> log >> INFO - test
[2022-01-23 00:57:27,475] -->> __main__ >> INFO - test
[2022-01-23 00:57:34,328][Log.py 58][INFO]: test
[2022-01-23 00:58:07,461][Log.py 58][INFO]: test
[2022-01-23 00:58:12,983][Log.py 58][INFO]: test
[2022-01-23 00:59:26,488][Log.py 58][INFO]: test
[2022-01-23 01:00:03,246][Log.py 58][INFO]: test
[2022-01-23 01:02:44,574][Log.py 58][INFO]: test
